name,content,source
Anchoring Bias,"A person's expectation about one thing is affected by something he/she saw, heard, or thought before. This occurs when people rely too heavily on a specific piece of information to govern their thought-process. 

In one study, an audience was asked to write the last two digits of their social security number and consider whether they would pay this number of dollars for items such as wine, chocolate, and computer equipment, the value of which they did not know. They were then asked to bid for these items. The result was that the audience members with higher two-digit numbers would submit bids that were between 60 percent and 120 percent higher than those with the lower social security numbers. Put simply, the higher the (social security) number in mind, the higher the bid. The social security numbers had become their ""anchors"".",http://en.wikipedia.org/wiki/Anchoring
Attentional Bias,"Some information or evidence may hold a disproportionate amount of a person's attention because of that person's environment, and emotionally stimulating events/items within it.

In studies using the dot-probe paradigm, patients who suffered from chronic ailments such as anxiety were more likely to focus on information or stimuli representing their concerns (in the case of anxiety: worried facial expressions).

 A 'within-subjects' bias occurs when an individual displays greater bias toward one type of information (e.g., painful faces) when compared to different types of information (e.g., neutral faces). Alternatively, a 'between-subjects' bias, occurs when one group of participants displays greater bias than another group of participants (e.g., chronic pain patients showed greater bias towards painful expressions than did healthy control participants).",http://en.wikipedia.org/wiki/Attentional_Bias
Bandwagon Effect,"The Bandwagon Effect is the tendency to do or believe things because many other people do or believe the same. It is a phenomenon observed primarily within the fields of microeconomics, political science, and behaviorism. 

In Solomon Asch's Conformity Experiments, students who participated in ""vision tests"" were more likely to answer questions about the length of a line incorrectly if others in the same room (in this case, confederates of Asch) who answered the question first provided incorrect answers. Similarly, if at least one of the confederates gave the correct answer, the students became far more likely to also give the correct answer.","http://en.wikipedia.org/wiki/Asch_conformity_experiments
http://en.wikipedia.org/wiki/Bandwagon_effect"
Bias Blind Spot,"This describes the tendency to see oneself as less biased than others. 

In Pronin's study at Princeton University, several biases were explained to subjects. When subsequently asked how biased they themselves were, subjects rated themselves as being much less prone to the biases described than the average person is prone.",http://en.wikipedia.org/wiki/Bias_blind_spot
Choice-supportive Bias,"This is the tendency to remember one's choices as better than they actually were. Research indicates that the process of making and remembering choices yields memories that tend to be distorted in predictable ways. For example, one predictable way that memories of choices are distorted is that positive aspects tend to be remembered as part of the chosen option, regardless of whether they originally part of that option, and negative aspects tend to be remembered as part of rejected options. This may affect a person's regret or approval of past decisions, and may also influence future decision making.",http://en.wikipedia.org/wiki/Choice-supportive_bias
Confirmation Bias,"A tendency for people to favor information that confirms their preconceptions or hypotheses regardless of whether the information is true. 

Experiments have repeatedly found that people tend to test hypotheses in a one-sided way: by searching for evidence consistent with the hypothesis they have formed at a given time. Confirmation biases are not limited to the collection of evidence. Although two individuals may have the same information, the way they interpret it can be biased. Even if someone has sought and interpreted evidence in a neutral manner, he or she may still remember it selectively to reinforce his/her expectations. So, the Confirmation Bias may operate at three different stages: when gathering evidence, when analyzing the evidence, or when remembering the evidence.",http://en.wikipedia.org/wiki/Confirmation_bias
Congruence Bias,"The tendency to test hypotheses exclusively through direct testing. Congruence Bias occurs due to people's over-reliance on direct testing of a given hypothesis and on a neglect of indirect testing. For example, in an experiment, a subject will test his own (usually) naive hypothesis again and again instead of trying to disprove it.",http://en.wikipedia.org/wiki/Congruence_bias
Contrast Effect,"A perception that is stronger or weaker, relative to objective measurement or typical experience, due to a prior or simultaneous exposure to a stimulus of less or greater value in the same dimension.

For example, as John Locke noted, lukewarm water may feel extremely hot or cold, depending on the temperature of your hand when you feel it. Similarly, a heavy weight is perceived as heavier than normal when felt at the same time as a lighter weight.",http://en.wikipedia.org/wiki/Contrast_effect
Denomination Effect,The Denomination Effect is a theoretical cognitive bias relating to currency: people are less likely to spend larger bills than their equivalent value in smaller bills.,http://en.wikipedia.org/wiki/Denomination_effect
Distinction Bias,"The tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately. 

Research shows that options presented simultaneously are evaluated differently than the same options presented separately. For example, when televisions are displayed next to each other on the sales floor, the difference in quality between two very similar, high-quality televisions may appear great. A consumer may pay a much higher price for the higher-quality television, even though the difference in quality is imperceptible when the televisions are viewed in isolation.",http://en.wikipedia.org/wiki/Distinction_bias
