Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,failedQuiz,What is a /cognitive bias/? (8ivbe6t),gotQuestion1Right,What kind of scenario should you imagine after reading about the cognitive bias and before answering the first question? (u9s211m),gotQuestion2Right,counter,previousRandomNumbers,final,randomNumber,i,bias,"Imagine a scenario in which you're trying to help a friend or loved one to adopt a new positive habit or pattern of behavior, like going to the gym regularly, giving to charity each month, managing anger, meditating every morning, etc. If your friend or loved one was having trouble adopting the new habit or behavior because they were getting tripped up by the {bias[""name""]}, then how would you help them to overcome that bias and adopt the new habit or behavior? Or if you could leverage the {bias[""name""]} to help the person to adopt the new habit or behavior, then how would you do it? Think: ""To help a friend or loved one to overcome the {bias[""name""]} and adopt a new positive habit or pattern of behavior, I would _____."" Or, conversely (or additionally): ""To leverage the {bias[""name""]} to help someone to adopt a new positive habit or pattern of behavior, I would _____."" Please provide as much detail as you can! (If you want, you can read more about the Ten Conditions for change [here|https://www.sparkwave.tech/conditions-for-change/].) (9mlhyy7)",temp1,"The *Ten Conditions for Change* is a framework for helping people to adopt new positive behaviors or habits. The framework basically claims that if people have met all ten conditions, then they will adopt a new behavior. Given the definitions of the Ten Conditions for Change below and the definition of the {bias[""name""]}, which of the Ten Conditions do you think is *most* affected by the {bias[""name""]}? In other words, if a person is trying to adopt a new positive behavior but is failing to do so because they're suffering from the {bias[""name""]}, then which of the Ten Conditions are they likely failing to meet? Or, conversely, if you could ethically leverage the {bias[""name""]} to help someone adopt a new behavior, then which of the Ten Conditions would you most affect by leveraging the bias? (kyn06yu)",temp2,Time Finished (UTC),age,device,gender,education,projectID,startedAt,computerID,assignmentID,yearOfBirth,participantID,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,"Imagine a scenario in which you're trying to help a friend or loved one to adopt a new positive habit or pattern of behavior, like going to the gym regularly, giving to charity each month, managing anger, meditating every morning, etc. If your friend or loved one was having trouble adopting the new habit or behavior because they were getting tripped up by the {bias[""name""]}, then how would you help them to overcome that bias and adopt the new habit or behavior? Or if you could ethically leverage the {bias[""name""]} to help the person to adopt the new habit or behavior, then how would you do it? Think: ""To help a friend or loved one to overcome the {bias[""name""]} and adopt a new positive habit or pattern of behavior, I would _____."" Or, conversely (or additionally): ""To ethically leverage the {bias[""name""]} to help someone to adopt a new positive habit or pattern of behavior, I would _____."" Please provide as much detail as you can! (v01hf16)","The *Ten Conditions for Change* is a framework for helping people to adopt new positive behaviors or habits. The framework basically claims that if people have met all ten conditions, then they will adopt a new behavior. Given the definitions of the Ten Conditions for Change below and the definition of the {bias[""name""]}, which of the Ten Conditions do you think is *most* affected by the {bias[""name""]}? In other words, if a person is trying to adopt a new positive behavior but is failing to do so because they're suffering from the {bias[""name""]}, then which of the Ten Conditions are they likely failing to meet? Or, conversely, if you could ethically leverage the {bias[""name""]} to help someone adopt a new behavior, then which of the Ten Conditions would you most affect by leveraging the bias? (If you want, you can read more about the Ten Conditions for change [here|https://www.sparkwave.tech/conditions-for-change/].) (ldbalya)"
0.65,0,5825438,53,2020-11-12 18:31:35,e5pk486,5za1stn,0,yes,yes,yes,yes,4,"[2,1,0]","{""mainQuestion1Response"":""This is the answer to question #1."",""mainQuestion2Response"":""4. A person *remembers* to perform the actions that make up the new behavior. A person is unlikely to adopt a new behavior if they don't remember to perform the relevant actions at the right times."",""mainQuestion3Response"":""This is the answer to question #3."",""mainQuestion4Response"":""6. A person *chooses* to perform the relevant actions instead of performing other actions. Even if a person remembers to perform an action, they're very unlikely to perform that action unless they choose it over the other actions or opportunities that are available to them at the same time."",""mainQuestion5Response"":""This is the answer to question #5."",""mainQuestion6Response"":""9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action.""}",0,3,"{""name"":""Anchoring Bias (see Focusing Effect)"",""content"":""<div class='text' style='font-size: 16.8px;'>A person's expectation about one thing is affected by something he/she saw, heard, or thought before. This occurs when people rely too heavily on a specific piece of information to govern their thought-process. <br><br>In one study, an audience was asked to write the last two digits of their social security number and consider whether they would pay this number of dollars for items such as wine, chocolate, and computer equipment, the value of which they did not know. They were then asked to bid for these items. The result was that the audience members with higher two-digit numbers would submit bids that were between 60 percent and 120 percent higher than those with the lower social security numbers. Put simply, the higher the (social security) number in mind, the higher the bid. The social security numbers had become their &quot;anchors&quot;.</div><br>"",""source"":""http://en.wikipedia.org/wiki/Anchoring"",""groupName"":""AnchoringBiasSeeFocusingEffect""}",This is the answer to question #1. | This is the answer to question #3. | This is the answer to question #5.,This is the answer to question #5.,"4. A person *remembers* to perform the actions that make up the new behavior. A person is unlikely to adopt a new behavior if they don't remember to perform the relevant actions at the right times. | 6. A person *chooses* to perform the relevant actions instead of performing other actions. Even if a person remembers to perform an action, they're very unlikely to perform that action unless they choose it over the other actions or opportunities that are available to them at the same time. | 9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action.","9. A person *embodies* the skills and traits needed to perform the relevant actions. A person is very unlikely to perform a specific action unless they have the physical capacities, mental capabilities, and skills needed to perform that action.",2020-11-12 18:32:15
0.00,0,5825745,56,2020-11-12 18:51:03,whoyhdb,5za1stn,,,,,,,,,,,,,,,,
14.33,0,5825767,56,2020-11-12 18:53:13,e5pk486,,1,yes | yes,yes,no | yes,yes,4,"[1,0,2]","{""mainQuestion1Response"":""I would encourage them to adopt a goal and have some reward for achievement of the goal."",""mainQuestion2Response"":""2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."",""mainQuestion3Response"":""I would ask them to think of a specific number related to what they wanted to achieve and work toward that."",""mainQuestion4Response"":""5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome."",""mainQuestion5Response"":""I would get a group of friends others that the person knows to meet at the place of the positive habit to facilitate him not wanting to feel left out."",""mainQuestion6Response"":""5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.""}",2,3,"{""name"":""Bandwagon Effect"",""content"":""<div class='text' style='font-size: 16.8px;'>The Bandwagon Effect is the tendency to do or believe things because many other people do or believe the same. It is a phenomenon observed primarily within the fields of microeconomics, political science, and behaviorism. <br><br>In Solomon Asch's Conformity Experiments, students who participated in &quot;vision tests&quot; were more likely to answer questions about the length of a line incorrectly if others in the same room (in this case, confederates of Asch) who answered the question first provided incorrect answers. Similarly, if at least one of the confederates gave the correct answer, the students became far more likely to also give the correct answer.</div><br>"",""source"":""http://en.wikipedia.org/wiki/Asch_conformity_experiments"",""groupName"":""BandwagonEffect""}",,I would get a group of friends others that the person knows to meet at the place of the positive habit to facilitate him not wanting to feel left out.,,5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome.,2020-11-12 19:07:34,52,desktop,male,completedBachelorsDegree,695e0c0f,2020-11-12 12:52 PM,8019d66216060f6eee686a8d7ac9fa9e60fb49b9,30f559b5,1968,5ee89c35,5,United States,"$60,000 to $84,999",0,4,72500,I would encourage them to adopt a goal and have some reward for achievement of the goal. | I would ask them to think of a specific number related to what they wanted to achieve and work toward that. | I would get a group of friends others that the person knows to meet at the place of the positive habit to facilitate him not wanting to feel left out.,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses. | 5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome. | 5. A person *believes* (1) that the relevant actions have a significant connection to the adoption of the new behavior and (2) that they themselves are able to perform the actions. A person is very unlikely to attempt a specific action if they don't think that attempting it will help them to achieve the desired outcome."
0.73,0,5825841,56,2020-11-12 19:03:36,zphr6g8,,0,yes,yes,yes,yes,1,[1],{},1,1,"{""name"":""Attentional Bias"",""content"":""<div class='text' style='font-size: 16.8px;'>Some information or evidence may hold a disproportionate amount of a person's attention because of that person's environment, and emotionally stimulating events/items within it.<br><br>In studies using the dot-probe paradigm, patients who suffered from chronic ailments such as anxiety were more likely to focus on information or stimuli representing their concerns (in the case of anxiety: worried facial expressions).<br><br> A 'within-subjects' bias occurs when an individual displays greater bias toward one type of information (e.g., painful faces) when compared to different types of information (e.g., neutral faces). Alternatively, a 'between-subjects' bias, occurs when one group of participants displays greater bias than another group of participants (e.g., chronic pain patients showed greater bias towards painful expressions than did healthy control participants).</div><br>"",""source"":""http://en.wikipedia.org/wiki/Attentional_Bias"",""groupName"":""AttentionalBias""}",,,,,,65,desktop,female,completedBachelorsDegree,695e0c0f,2020-11-12 12:52 PM,b7007a5622ad70abc72b4abd29a40c878e415392,2e3654a9,1955,4ad0341e,5,United States,"$40,000 to $59,999",1,3,50000,,
6.32,0,5825881,56,2020-11-12 19:08:24,e5pk486,,1,no | no | yes,yes,yes | no | yes,yes,3,"[1,0,2]","{""mainQuestion1Response"":""Leverage Your Ethics as a Competitive Advantage. Every action tells your story. Business practices that are trusting, trustworthy."",""mainQuestion2Response"":""3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame."",""mainQuestion3Response"":""New behavior adoption isn't affected by this bias"",""mainQuestion4Response"":""None of the above. This bias doesn't affect any of the above conditions.""}",2,3,"{""name"":""Bandwagon Effect"",""content"":""<div class='text' style='font-size: 16.8px;'>The Bandwagon Effect is the tendency to do or believe things because many other people do or believe the same. It is a phenomenon observed primarily within the fields of microeconomics, political science, and behaviorism. <br><br>In Solomon Asch's Conformity Experiments, students who participated in &quot;vision tests&quot; were more likely to answer questions about the length of a line incorrectly if others in the same room (in this case, confederates of Asch) who answered the question first provided incorrect answers. Similarly, if at least one of the confederates gave the correct answer, the students became far more likely to also give the correct answer.</div><br>"",""source"":""http://en.wikipedia.org/wiki/Asch_conformity_experiments"",""groupName"":""BandwagonEffect""}",,New behavior adoption isn't affected by this bias,,None of the above. This bias doesn't affect any of the above conditions.,,30,desktop,male,completedMastersDegree,695e0c0f,2020-11-12 12:52 PM,b2ad5b97a5c3dfa0c1a510d8fdfc18efc3ecb88e,d4098834,1990,7a68c8dd,6,United States,"$115,000 to $149,999",0,6,132500,"Leverage Your Ethics as a Competitive Advantage. Every action tells your story. Business practices that are trusting, trustworthy. | New behavior adoption isn't affected by this bias","3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame. | None of the above. This bias doesn't affect any of the above conditions."
0.20,0,5825918,56,2020-11-12 19:15:22,alf1s4o,,0,,,,,,,,,,,,,,,,32,desktop,male,completedOnlyHighSchoolOrTheEquivalent,695e0c0f,2020-11-12 12:52 PM,bebee77c577e5cd380ff04d0775d4b3119ffff1e,5f755ff2,1988,50496a65,2,United States,"$10,000 to $24,999",0,1,17500,,
2.95,0,5825954,56,2020-11-12 19:23:19,e5pk486,,1,yes | yes,yes,no | yes,yes,4,"[0,1,2]","{""mainQuestion1Response"":""New behavior adoption is not affected"",""mainQuestion2Response"":""3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame."",""mainQuestion3Response"":""New behavior adoption isn't affected"",""mainQuestion4Response"":""1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it."",""mainQuestion5Response"":""New behavior adoption isn't affected"",""mainQuestion6Response"":""2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.""}",2,3,"{""name"":""Bandwagon Effect"",""content"":""<div class='text' style='font-size: 16.8px;'>The Bandwagon Effect is the tendency to do or believe things because many other people do or believe the same. It is a phenomenon observed primarily within the fields of microeconomics, political science, and behaviorism. <br><br>In Solomon Asch's Conformity Experiments, students who participated in &quot;vision tests&quot; were more likely to answer questions about the length of a line incorrectly if others in the same room (in this case, confederates of Asch) who answered the question first provided incorrect answers. Similarly, if at least one of the confederates gave the correct answer, the students became far more likely to also give the correct answer.</div><br>"",""source"":""http://en.wikipedia.org/wiki/Asch_conformity_experiments"",""groupName"":""BandwagonEffect""}",,New behavior adoption isn't affected,,"2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses.",2020-11-12 19:26:16,39,desktop,female,completedMastersDegree,695e0c0f,2020-11-12 01:21 PM,1315dc09d68804d9ddf3cf35aae07fd89044f0be,58596929,1981,a7153fd7,6,United States,"$60,000 to $84,999",1,4,72500,New behavior adoption is not affected | New behavior adoption isn't affected | New behavior adoption isn't affected,"3. A person *intends* to adopt the new behavior. Even if a person desires to adopt a new behavior, they're very unlikely to actually do so unless they themselves predict that they will conduct that behavior at specific times, in specific situations, or within a certain time frame. | 1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it. | 2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."
0.25,0,5825960,56,2020-11-12 19:24:37,no89uwa,,1,no,no,no,no,,,,,,,,,,,,38,desktop,male,completedBachelorsDegree,695e0c0f,2020-11-12 12:52 PM,a77f7c9eec8c54821970249f64de72c5c80cd57a,cb9d9f58,1982,4fde1c14,5,United States,"$85,000 to $114,999",0,5,100000,,
5.82,0,5826207,56,2020-11-12 20:05:48,e5pk486,,1,yes | yes,yes,no | yes,yes,4,"[1,0,2]","{""mainQuestion1Response"":""To help a friend or loved one to overcome the Attentional Bias and adopt a new positive habit or pattern of behavior, I would encourage them to push forward and even go with them to do positive tasks to give them company."",""mainQuestion2Response"":""2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses."",""mainQuestion3Response"":""To help a friend or loved one to overcome the Anchoring Bias and adopt a new positive habit or pattern of behavior, I would tell them that life is not all butterflys and remind them of my own anchors i had trying to get in the habit of staying with my task."",""mainQuestion4Response"":""1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it."",""mainQuestion5Response"":""To help a friend or loved one to overcome the Bandwagon Effect and adopt a new positive habit or pattern of behavior, I would tell them that its not important what other people think.. it would be better off to be your own person and to do the best they could."",""mainQuestion6Response"":""10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels.""}",2,3,"{""name"":""Bandwagon Effect"",""content"":""<div class='text' style='font-size: 16.8px;'>The Bandwagon Effect is the tendency to do or believe things because many other people do or believe the same. It is a phenomenon observed primarily within the fields of microeconomics, political science, and behaviorism. <br><br>In Solomon Asch's Conformity Experiments, students who participated in &quot;vision tests&quot; were more likely to answer questions about the length of a line incorrectly if others in the same room (in this case, confederates of Asch) who answered the question first provided incorrect answers. Similarly, if at least one of the confederates gave the correct answer, the students became far more likely to also give the correct answer.</div><br>"",""source"":""http://en.wikipedia.org/wiki/Asch_conformity_experiments"",""groupName"":""BandwagonEffect""}",,"To help a friend or loved one to overcome the Bandwagon Effect and adopt a new positive habit or pattern of behavior, I would tell them that its not important what other people think.. it would be better off to be your own person and to do the best they could.",,"10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels.",2020-11-12 20:11:38,135,desktop,male,completedOnlyHighSchoolOrTheEquivalent,695e0c0f,2020-11-12 02:05 PM,d591cc9b21db83db3cfb5570e806f56c055aaca2,5ecd955c,1885,43113940,2,United States,"$85,000 to $114,999",0,5,100000,"To help a friend or loved one to overcome the Attentional Bias and adopt a new positive habit or pattern of behavior, I would encourage them to push forward and even go with them to do positive tasks to give them company. | To help a friend or loved one to overcome the Anchoring Bias and adopt a new positive habit or pattern of behavior, I would tell them that life is not all butterflys and remind them of my own anchors i had trying to get in the habit of staying with my task. | To help a friend or loved one to overcome the Bandwagon Effect and adopt a new positive habit or pattern of behavior, I would tell them that its not important what other people think.. it would be better off to be your own person and to do the best they could.","2. A person *desires* to adopt the new behavior. Even if a person has considered adopting a new behavior, they're very unlikely to actually do so unless they desire to adopt it. There are two different types of desire: /intuitive desire/ (a gut-level positive feeling or emotion about engaging in a behavior) and /reflective desire/ (an analytical, reasoned belief that the behavior is worthwhile). To make a behavior likely, it's critical to have at least one of these two forms of desires, but it's best if the person desires the behavior in both the intuitive and reflective senses. | 1. A person *considers* the behavior. A person is very unlikely to change a behavior if they have not even considered changing it. | 10. A person *maintains* all of the things needed to perform the relevant actions in the future. A person is very unlikely to perform future required actions if, due to the experience of taking earlier actions or due to the passage of time, the conditions mentioned above fall below adequate levels."
0.23,0,5826238,56,2020-11-12 20:13:55,no89uwa,,0,,,,,,,,,,,,,,,,36,desktop,male,completedAssociateDegreeOnly,695e0c0f,2020-11-12 02:10 PM,7803fc4290c86880405033f953d45db7ff843258,4e13adbe,1984,c8a3e5a9,4,United States,"$25,000 to $39,999",0,2,32500,,
