name,condition,description,most important words,synonyms
"""After This, Therefore Because of This"" Fallacy (Post Hoc, Ergo Propter Hoc)",Desires,"This fallacy occurs when a person assumes that event A caused event B because B occurred after A. To help a person overcome this fallacy, give counterexamples of people who experienced the first event but not the second. Show statistics about the percentage of times that the second event follows the first.",fallacy assumes occurred occurs event caused person b after because,"['affect', 'affects', 'after', 'because', 'cause', 'caused', 'causes', 'causing', 'consequences', 'effect', 'effects', 'impact', 'trigger']"
Generation Effect in Memory,Intends,"The Generation Effect refers to the finding that information will be better remembered if it is generated rather than simply read. To leverage this bias, encourage people come to conclusions for themselves instead of handing them a fully-formed train of thought. For example, encourage someone to start giving to charity by asking them questions that challenge them to think about their values and about ways in which they are or aren't acting in accordance with those values. Also, ask people to develop mnemonic devices or other kinds of memory triggers to remember to perform the relevant actions. For example, if someone is trying to manage their anger, they could come up with the acronym ""CAT,"" which stands for ""Controlling Anger Today,"" and ask them to post the acronym somewhere they'll see it often or to repeat it often as a kind of mantra.",remembered refers generated generation finding effect simply rather information read,"['dwell', 'erase', 'forget', 'generate', 'memories', 'memory', 'remember', 'remembering', 'rewind', 'underestimate']"
Actor-Observer Asymmetry,Intends,"The Actor-Observer Asymmetry occurs when people subconsciously change the way they attribute behavior to various factors depending on whether they're the person performing the behavior (the *actor*) or a witness to the behavior from the outside (an *observer*). When assessing their own behavior as actors, people tend to emphasize the influence of the situation on their behavior and downplay the influence of their own personality or character. When assessing others' behavior as observers, the reverse is true: people's assessment of others' behavior tends to emphasize the influence of personality or character in the behavior and downplay the influence of the situation. To overcome this bias, ask people to consider how a friend, loved one, or ideal person would've behaved in the same situation. For example, if a person skipped gym day because it was raining really hard that day, ask them whether or not their gym buddy also skipped that day because of the rain. By comparing their actions against other people in identical situations, they can see that the context was less relevant than they supposed and that their character was more relevant than they supposed.",downplay actors assessing others' emphasize actor assessment observers personality attribute,"['actor', 'agent', 'assassin', 'astronomer', 'asymmetry', 'fractals', 'luminosity', 'observer', 'philosopher', 'physicist', 'scholar', 'symmetry']"
Ad Hoc Rescue,Desires,"An Ad Hoc Rescue is an attempt to save a cherished belief by repeatedly revising the argument to explain away problems. To overcome this bias, show people facts. For example, if you'd like to encourage someone to start giving to charity but they keep coming up with new reasons why giving to charity is useless or bad (e.g., social darwinism is morally good, poor people are poor because they're bad managers of their resources, everyone should pull themselves up by their own bootstraps, nonprofit organizations only pass along a small percentage of donations to poor people, etc.), then you could show them statistics about how giving to charity pulls more people out of poverty than other solutions do. Of course, this assumes that they share the same values as you but believe other strategies are more effective. If they don't even share the same values, a more philosophical argument may be required. (Honestly, though, it may not be possible to overcome this bias; some people are committed to their beliefs regardless of evidence or argument, so your time may be better spent elsewhere.)",revising cherished hoc rescue repeatedly ad belief attempt save argument,"['backtrack', 'delete', 'edit', 'erase', 'goalpost', 'kimura', 'move', 'rescue', 'resize', 'retract', 'revise', 'rewind', 'rewrite', 'timeout']"
Ad Hominem Fallacy,Desires,"The Ad Hominem Fallacy occurs when a person attacks the arguer instead of the argument in order to draw the conclusion that the argument is false. To overcome this bias, ask people to replace the actual messenger with a trusted imaginary messenger (or merely omit the messenger altogether); then, ask them to reconsider the message. To leverage this bias, deliver the message using a messenger that you know the audience will trust.",arguer hominem fallacy attacks occurs conclusion ad draw false argument,"['attributes', 'character', 'characteristics', 'genes', 'instincts', 'intellect', 'person', 'personalities', 'personality', 'qualities', 'trait', 'traits']"
Affirmative Conclusion from a Negative Premise Fallacy,Desires,"This fallacy has the form: ""A is not a subset of B. B is not a subset of C. Therefore A is a subset of C."" It might be helpful to point out to people when this fallacy is affecting their reasoning, especially when it affects their perceptions about the rationale for or effects of a desired behavior (e.g., it would be particularly important to identify flawed reasoning if it is decreasing their desire to engage in a positive behavior, decreasing the degree to which they believe it will enable them to meet goals that are important to them, or decreasing the attractiveness of a behavior relative to alternative behaviors). For example, someone might reason that ""people who take smoking breaks at work"" are not a subset of ""people who never take any breaks at work"", and ""people who never take any breaks at work"" are not a subset of ""people who have a healthy work-life balance""; they may then reach the erroneous conclusion that ""people who take smoking breaks at work have a healthy work-life balance"". One way to correct them might be to point out this reasoning fallacy. (However, it might be simpler and/or easier to simply point out counterexamples showing them that their conclusion is inaccurate, such as examples of people who take smoking breaks but who have to consistently stay later at work [and have to cut down on evening social events], due to their smoking breaks interrupting their workflow.)",subset fallacy form therefore b c has not this is,"['affirmative', 'conclusion', 'conclusions', 'conclusive', 'constructive', 'empirical', 'hypothesis', 'inference', 'negative', 'positive', 'premise', 'subjective']"
Affirming a Disjunct Fallacy,Desires,"This fallacy has the form: ""A or B. A. Therefore not B."" The fallacy lies in concluding that one disjunct must be false because the other disjunct is true; in fact, they may both be true. (Of course, this depends on whether ""or"" is defined *inclusively* or *exclusively*. The fallacy can only occur when ""or"" is defined inclusively. If ""or"" is defined exclusively, then the above form is valid, and it would be fallacious to conclude that both disjuncts can be true at the same time. To avoid either mistake and to communicate clearly, be sure to include some form of ""both"" in the language, like: ""A or B, or both"" (inclusive) or ""A or B, but not both"" (exclusive), but not both.) It may help to point out to people when this fallacy is affecting their reasoning, especially when it affects their perceptions about the rationale for or effects of a desired behavior (e.g., it would be particularly important to identify flawed reasoning if it is decreasing their desire to engage in a positive behavior, decreasing the degree to which they believe it will enable them to meet goals that are important to them, or decreasing the attractiveness of a behavior relative to alternative behaviors). For example, someone might believe that either ""you stop smoking socially at parties"" OR ""you keep enjoying parties"", without realising that the two are not mutually exclusive categories, and it is actually possible to stop smoking socially at parties while still enjoying them. A benevolent helper could respectfully point out the fallacy inherent in affirming a disjunct in this case. This could be aided by providing some counterexamples (e.g., providing examples of people who don't smoke and still love parties). Another way in which this fallacy could negatively influence behavior change would be when people draw incorrect conclusions regarding the resources and other requirements for performing or for continuing a particular action: for example, they may believe that either ""you don't have a gym membership"" (A) OR ""you have the ability to meet your recommended levels of moderate-intensity aerobic exercise each week"" (B), without realising that A does not preclude B (i.e. if A applies, it doesn't mean that B can't apply). If they engage in this kind of reasoning, it may lead them to believe that they don't have the required resources to increase their physical activity levels. Respectfully pointing out that they are engaging in this kind of reasoning, and/or providing counterexamples (such as their ability to start jogging or cycling, at a much lower cost than starting a gym membership) may help in cases like these.",concluding inclusive fallacious exclusive exclusively communicate fallacy conclude lies mistake,"['affirm', 'affirmation', 'affirmed', 'disjunct', 'either', 'exclusive', 'inalienable', 'inclusive', 'or', 'pursuant', 'reaffirm', 'subscribe', 'unbiased', 'uphold']"
Affirming the Consequent Fallacy,Intends,"This fallacy has the form: ""If P, then Q. Q. Therefore P."" The mistake lies in the assumption that if P implies Q, then Q implies P. In cases where this fallacy is decreasing someone's desire or intention to engage in a positive behavior, and/or is decreasing their perception of how achievable it is, then it might help to point out this fallacy directly; this might be relatively simple if counterexamples come to mind. For example, if someone sees that their friends who have gym memberships are physically fit, they may assume that anyone who is physically fit must have a gym membership. If the person in question can't afford a gym membership or doesn't like the thought of using a gym during a pandemic, then it could be quite counterproductive for them to erroneously conclude that if they want to be fit, then they will need a gym membership (as this would give them the impression that increasing their level of physical fitness is an unattainable goal merely because they can't join a gym). This could be addressed by identifying counterexamples (e.g., drawing on examples of people who are physically fit who regularly engage in low-cost exercise outside of the gym).",fallacy implies assumption lies mistake q form therefore p then,"['after', 'ascribe', 'consequence', 'consequent', 'constitute', 'construed', 'denote', 'equate', 'if', 'implication', 'implies', 'imply', 'resultant', 'then']"
Ambiguity Effect,Desires,"The Ambiguity Effect is a cognitive bias where decision-making is affected by a lack of information or ""ambiguity."" The effect implies that people tend to select options for which the probability of a favorable outcome is known instead of an option for which the probability of a favorable outcome is unknown. To overcome this effect, report the likelihood of all outcomes and help people to develop an intuitive feel for the likelihoods by comparing them to commonly-known outcomes.",decision-making cognitive ambiguity favorable outcome bias probability implies affected unknown,"['ambiguity', 'ambiguous', 'clarification', 'clarity', 'confusion', 'information', 'specifics', 'subjective', 'uncertainty', 'unclear', 'vague']"
Anchoring Bias (see Focusing Effect),Desires,"The Anchoring Bias occurs when a person's expectation about one thing is affected by something they saw, heard, or thought before. In other words, it occurs when a person relies too heavily on a specific piece of information to govern their thought process. To overcome this bias, help them to understand that their past experiences may be out-of-date (e.g., if costs are much higher than they remembered them being) or based on incorrect information. To leverage this bias, suggest a specific number (e.g., dollar amount) as a starting point for giving, negotiating, etc.",govern expectation relies person's bias heavily affected occurs piece specific,"['anchor', 'concentrate', 'depend', 'depends', 'focus', 'focused', 'relied', 'relies', 'rely', 'relying', 'specific']"
Anecdotal Evidence Fallacy,Desires,"The Anecdotal Evidence Fallacy is the discounting of evidence arrived at by systematic search or testing in favor of a few firsthand stories. To overcome this fallacy, point out that anecdotes can never be generalized to a population but that a population contains within itself many anecdotes. In other words, a population represents many individuals, but a single individual does not necessarily represent the population (since it's possible to tell a true anecdote that's nevertheless statistically rare for a population). To leverage this bias, use anecdotes to describe what individual experiences may look like, but be sure to mention that the anecdotes are only part of the statistical story. In other words, ""your mileage may vary.""",discounting firsthand systematic anecdotal fallacy arrived favor testing stories search,"['anecdotal', 'anecdote', 'evidence', 'facts', 'proverb', 'statistic', 'statistics', 'stats', 'stories', 'story', 'tales']"
Appeal to Novelty Fallacy,Desires,"The Appeal to Novelty Fallacy is the belief that something is automatically better because it is new or newer. To overcome this fallacy, point out that there are significant (but often less noticeable) risks and costs associated with always having / using the newest thing. For example, trying to incorporate the latest trends in exercise requires continually learning new skills; and trying to eat in accordance with the latest diet trends puts one's health at risk since there may be little research into the long-term effects of the diet. Point out that old things may be less fashionable but are also more reliable, well-tested, and often cheaper. To leverage this fallacy, show that the target behavior can be adopted in a new way. For example, to convince people to stop smoking cigarettes (which is not a new idea), show them new techniques and tools for quitting, such as a new medication or a new kind of chewing gum.",novelty appeal fallacy newer automatically belief better something because new,"['customizable', 'customize', 'customized', 'distinct', 'distinctive', 'diverse', 'incorporates', 'innovative', 'new', 'original', 'unique']"
Appeal to Authority Fallacy,Considers,"The Appeal to Authority Fallacy is the argument that a statement is correct because the statement is made by a person or source that is commonly regarded as authoritative. To overcome this fallacy, disconnect the message from the messenger and analyze the message itself. For example, ""I know you've adopted Diet X because Dr. Oz recommended it, but is it really true that X is safe and effective? I think you should see what the research shows about X before adopting it."" To leverage this fallacy, ask trusted authority figures to deliver messages. For example, ""I'm Alex Trebec, and I want you to know how important it is to buy life insurance.""",authoritative regarded appeal fallacy commonly authority argument statement correct source,"['authority', 'authorization', 'autonomy', 'dominion', 'jurisdiction', 'latitude', 'legitimacy', 'powers', 'regulate', 'veto']"
Appeal to Common Practice Fallacy,Desires,"The Appeal to Common Practice Fallacy is the claim that something is true because it's commonly practiced. To overcome this fallacy, show counterexamples where a common practice or belief was later shown to be false, dangerous, or immoral. (This by itself doesn't prove that a claim is false; it only demonstrates that the majority isn't always right and that common practice isn't proof of truth or moral acceptability.) For example, the consumption of meat is common in many — perhaps most — parts of the world, but its commonness doesn't alone make it morally justified.",practiced appeal fallacy commonly practice common claim true something because,"['common', 'everyone', 'majority', 'overwhelmingly', 'popular', 'popularity', 'subjective', 'supermajority', 'thirds', 'universally', 'widespread']"
Appeal to Consequences Fallacy,Considers,"The Appeal to Consequences Fallacy is an argument that concludes that a premise (typically a belief) is either true or false based on whether the premise leads to desirable or undesirable consequences. Pointing out this fallacy directly might have the potential to backfire, since this kind of reasoning can be associated with cognitive dissonance and motivated reasoning, which may decrease the degree to which people can engage rationally and productively with information and/or arguments contradicting their current thinking (e.g., [Rothgerber, 2020](https://www.sciencedirect.com/science/article/pii/S0195666319306324?casa_token=TbOa-8zyVboAAAAA:pwCeOrthXBA3hSOV8dSmUNyL5cIT4oeSJV3jYRNd5wCSseAtLw4rvD0cYYRU6VZRhBohasvyO7Y)). Motivated reasoning may become particularly problematic when the topic at hand is framed in moral terms (as topics framed in terms of morality can be associated with more polarization than those perceived through a pragmatic lens; [Abeywickrama et al., 2020](https://jspp.psychopen.eu/index.php/jspp/article/view/5263)). Having said that, given the right circumstances and the right person, it might sometimes be worth telling someone when it seems like this fallacy is affecting their reasoning (if the backfire risk is judged to be sufficiently low). It is especially important to approach this reasoning fallacy strategically in cases where it affects someone's perceptions about the rationale for, intention to engage in, and beliefs about the feasibility and consequences of a desired behavior. This may be worth taking into consideration when raising initial awareness of a behavior or its consequences: if the target audience has certain ideas that they hold strongly, and value highly, then it could backfire to convey information that directly challenges those beliefs. And when information _is_ presented that _could_ contradict someone's cherished beliefs, it might be preferable to share the information on its own - without sharing the conclusions or providing behavioral prescriptions - in order to encourage the person to come to their _own_ conclusions (which could also leverage the Generation Effect). Over the longer-term, it may help to encourage people to foster more epistemic humility, potentially through practicing dialogic argumentation in a wide variety of contexts ([Kuhn & Crowell, 2011](https://journals.sagepub.com/doi/full/10.1177/0956797611402512?casa_token=j8n-fvNZXIcAAAAA%3ARQxwCnHBeC4V_rEOge0_-zqCBENDDml05g1n502cs7OTa8ADJ2pONhY88bhP2p3CHRm0C7RA6-lsww)). More research in this area is needed, but some evidence suggests that such approaches may enable people to become less attached to their desired conclusions ([Švaříček, 2019](https://www.phil.muni.cz/journals/index.php/studia-paedagogica/article/view/2063), which may increase their ability to form more realistic beliefs through the use of reasoning and evidence.",undesirable concludes desirable appeal fallacy premise consequences typically leads false,"['adverse', 'consequence', 'consequences', 'construed', 'desirable', 'detrimental', 'outcome', 'result', 'subjective', 'undesirable', 'undesired']"
Appeal to Fear Fallacy,Desires,"The Appeal to Fear Fallacy is the argument that one of two things must be true and that, because one of the things is frightening, the other must be true. It usually has the form: ""Either P or Q is true. Q is frightening. Therefore, P is true."" This fallacy could be leveraged by highlighting undesirable and/or risky outcomes that are expected if the person doesn't engage in the desired behavior change. It could also help to motivate people to maintain the behavior, in cases where they either fear failure itself, or fear the consequences of that failure. In other cases, it may prevent someone from engaging in a positive behavior, by reducing the range of possible behaviors a person considers possible, plans for, and enacts. The way in which this is addressed may depend on how severe the person's fear is, and how strongly they hold their current beliefs relating to the feared outcome(s). If the backfire risk is deemed to be low, then it might be helpful to encourage the person to acknowledge the fear, to analyze the reasons behind it (and the person's consequent fear/anxiety), and to manage it directly. On the other hand, if the person has strongly-held beliefs relating to the fear or its consequences, then it may be preferable to avoid confronting it directly, and to instead employ the strategies suggested for the broader, related category of the Appeal to Consequences fallacy.",frightening appeal fallacy fear q argument form therefore usually p,"['fear', 'fearful', 'frightened', 'frightening', 'nightmare', 'scared', 'scares', 'scary', 'terrified', 'terrifying']"
Appeal to Flattery Fallacy,Desires,"The Appeal to Flattery Fallacy is the use of an irrelevant compliment to slip in an unfounded claim which is accepted along with the compliment. It usually has the form: ""You have desireable property X, so of course you'll know that P is true."" It might be beneficial to use legitimate compliments as a way of motivating people to engage in (or continue engaging in) positive behaviors. As long as the flattery is actually warranted (i.e. not dishonest), then its use may motivate people to consider, plan for, willingly engage in and maintain positive behaviors, especially if they ascribe positive characteristics to themselves owing to them having engaged in the behavior. For example, the language training app DuoLingo employs flattery to motivate its users when they engage in streaks of practice days. On the other hand, if flattery is unwarranted or is flasely inflated, then as well as being dishonest/unethical, this would run the risk of backfiring via the Argument from Fallacy (if/when the person identifies the use of unwarranted flattery).",flattery compliment desireable unfounded slip appeal fallacy irrelevant property accepted,"['compliment', 'curves', 'deceive', 'emulate', 'flatter', 'insult', 'kinder', 'nicer', 'prettier', 'smoother', 'sporty', 'width']"
