Name,Should use?,Has received final editing pass?,Description,Experimental evidence,"If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",Examples,Manual keywords,Ten Conditions for Change (primary),Ten Conditions for Change (secondary),Benevolent helper,Tags,Source URLs,Source descriptions,Source notes,Other notes,Anthony's Notes,Ideas for Testing,Even more notes,Type of Rational Thinking Error(s) (Stanovich),Class of Rational Thinking Error(s) (Stanovich)
"""After This, Therefore Because of This"" Fallacy (Post Hoc, Ergo Propter Hoc)",,yes,"The ""After This, Therefore Because of This"" Fallacy is the assumption that event A caused event B merely because B occurred after A.",,,"For example: ""My child became autistic right after she got her vaccine, so the vaccine must have caused it.""","after, because, cause, effect",2. Desires,5. Believes,"To help a person overcome this fallacy, give counterexamples of people who experienced the first event but not the second. Show statistics about the percentage of times that the second event follows the first.",logical fallacy,http://en.wikipedia.org/wiki/post_hoc_ergo_propter_hoc,,,,,,,,
Actor-Observer Asymmetry,,yes,"The Actor-Observer Asymmetry occurs when people subconsciously attribute behavior to different causes depending on whether they're the person performing the behavior (the *actor*) or merely a witness (an *observer*). When assessing their own behavior as actors, people tend to emphasize the influence of the situation on their behavior and downplay the influence of their own personality or character. When assessing others' behavior as observers, the reverse is true: people's assessment of others' behavior tends to emphasize the influence of personality or character on the behavior and downplay the influence of the situation. See also: Fundamental Attribution Error.","This has been demonstrated in studies by differentiating between actors' and observers' explanations in the following way: people's explanations were separated into theoretically meaningful distinctions (e.g., reasons vs. causal history of reason explanations). The responses were categorized, and the differences emerged.",,"For example: ""I haven't been able to get into the habit of going to the gym because life has just been so busy lately. Every day, I go to work, come home and spend a few minutes with my kids and spouse, cook dinner, and work on remodeling our back porch. I don't have time to go to the gym! But I'm totally unlike my spouse: they avoid the gym out of pure laziness.""","actor, agent, observer, symmetry, asymmetry",3. Intends,"5. Believes, 10. Maintains","To overcome this bias, it might help to ask people to consider how a friend, loved one, or ideal person would have behaved in the same situation. For example, if a person skipped gym day because of a thunderstorm that day, ask them whether or not their gym buddy also missed that day because of the storm. By comparing their actions against other people in identical situations, they might see that the context was less relevant than they supposed and that their character was more relevant than they realized.",cognitive bias,http://en.wikipedia.org/wiki/Actor%E2%80%93observer_bias,,,,,,,,
Ad Hoc Rescue,,yes,An Ad Hoc Rescue is an attempt to save a cherished belief by repeatedly revising the argument in favor of it to explain away problems.,,,"For example: ""I don't care if it gives me better cardiovascular health, better mental health, better sleep quality, and longer life expectancy---I still think that regular exercise would just be torture."" ","rescue, revise, edit, erase, backtrack, goalpost, move",2. Desires,,"It might help to show people facts. For example, if you'd like to encourage someone to start giving to a high-impact charity, but they keep coming up with new reasons why this would be useless or harmful, you could show them objective evidence regarding the charity's impact. Of course, this assumes that they share the same values as you but believe other strategies are more effective. If they don't share the same values, then your attempts to address Ad Hoc Rescue may not help. ",rhetorical fallacy,,,,,,,,,
Ad Hominem Fallacy,,yes,The Ad Hominem Fallacy occurs when a person attacks the arguer instead of the argument in order to conclude that the argument is false.,,,"For example: ""That researcher is overweight! We can't trust their meta-analysis about the health impacts of saturated fat intake.""","person, personality, character, traits",2. Desires,5. Believes,"To overcome this bias, you could ask people to replace the actual messenger with a trusted imaginary messenger (or merely omit the messenger altogether); then, ask them to reconsider the message.

To leverage this bias, you could deliver the message using a messenger that you know the audience will trust. In such a case, it's still important to tell the audience that the claims are true for reasons other than that they're being delivered by a trusted messenger; the trusted messenger only acts as a sort of Trojan horse to deploy the message behind the defenses of the audience, not as proof of the message's veracity.",rhetorical fallacy,http://en.wikipedia.org/wiki/ad_hominem,,,,,,,,
Affirmative Conclusion from a Negative Premise Fallacy,,yes,"The Affirmative Conclusion from a Negative Premise Fallacy occurs when an affirmative conclusion is assumed to follow from two negative premises; for example: ""A is not a subset of B. B is not a subset of C. Therefore, A is a subset of C.""",,,"For example: ""We don't read that trash. People who read that trash don't appreciate real literature. Therefore, we appreciate real literature."" 

Another example: ""People who take smoke breaks at work aren't the type who can never relax. People who can't relax don't have a healthy work-life balance. So, people who take smoke breaks have a healthy work-life balance.""","affirmative, positive, negative, conclusion, premise",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, draw Venn diagrams to illustrate the relationships of the categories involved to correct the logic of the faulty argument. (This is a useful strategy for many errors that occur when reasoning about categories.) Also, give empirical evidence that contradicts the faulty conclusion in order to update the person's beliefs (in case their reasoning is motivated by other factors).",logical fallacy,http://en.wikipedia.org/wiki/affirmative_conclusion_from_a_negative_premise,,,,,,,,
Affirming a Disjunct Fallacy,,yes,"Affirming a Disjunct Fallacy is a logical fallacy made in deductive arguments in which it is falsely assumed that if one statement or category applies, then another cannot apply. This fallacy has the form: ""A or B. A. Therefore, not B."" If it is possible for both A and B to be true at the same time (i.e., if they're not mutually exclusive), then it is erroneous to conclude that one disjunct must be false merely because the other disjunct is true.",,,"For example, someone might believe that either ""you stop smoking socially at parties"" *or* ""you keep enjoying parties"" without realizing that the two are not mutually exclusive categories. (In other words, they may not realize that it is possible to stop smoking socially at parties while still enjoying them.)

For example: ""You can love America, or you can be a socialist.""","disjunct, affirm, either, or, inclusive, exclusive",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 8. Has, 10. Maintains","To overcome this fallacy, ask: ""Is it possible for both disjuncts to be true at the same time?"" For example: ""Can a person quit drinking and still have fun?"" Also, show examples where both disjuncts are true at the same time. In particular, it's important to show anecdotal evidence from the lives of loved ones when a person's reasoning is strongly motivated by emotion and/or identity, as in the cases of religion and politics. In other words, it's important not only to ask the question ""Can a person hold belief X and still be a good person?"" but also to show examples of real people, especially loved ones, who *do* hold belief X and who *are* still good people.",logical fallacy,http://en.wikipedia.org/wiki/affirming_a_disjunct,,,,,,,,
Affirming the Consequent Fallacy,,yes,"This fallacy has the form: ""If P, then Q. Q. Therefore P."" The mistake lies in the assumption that if P implies Q, then Q implies P.",,,"For example: ""Everyone who does Crossfit is in very fit. Alice is in very fit, so she must do Crossfit.""","after, consequent, imply, implication, if, then",3. Intends,"5. Believes, 6. Chooses, 8. Has, 10. Maintains","To overcome this fallacy, show that there are other ways to arrive at the current state of affairs by giving concrete counterexamples. In the example above (""Everyone who does Crossfit is in very fit. Alice is in very fit, so she must do Crossfit.""), it's possible that Alice has gotten fit through some other means than Crossfit; perhaps she does P90X, for example.",logical fallacy,http://en.wikipedia.org/wiki/affirming_the_consequent,,,,,,,,
Ambiguity Effect,,yes,The Ambiguity Effect is a cognitive bias wherein decision-makers tend to select options for which the probability of a favorable outcome is known instead of an option for which the probability of a favorable outcome is unknown or ambiguous.,,,"For example: ""I know that if I pick Door #1, I have a 15% chance of winning a moderately good prize. I also know that if I pick Door #2, I'll win a prize, but I don't know how good the prize will be or what the chances of winning are. I guess I'll pick Door #1!""

Another example: ""I want to invest in Company #1 because it has a proven track record of success...even though that investment will have a low ROI and I'm not absolutely in love with their product. I'd rather do that than invest in Company #2 because, even though Company #2 has a product I like, I just don't know anything about them!""

Another example: Someone might choose a fixed-rate mortgage (where the interest rate doesn't change) over a variable-rate mortgage (where the interest rate fluctuates with the market) even if the variable-rate mortgage saves them money.","ambiguity, information, unclear, clarity",3. Intends,2. Desires,"To overcome this effect, it might help to report the likelihood of all outcomes wherever possible. It might also help to develop an intuition for the probabilities by comparing them to commonly-known outcomes.",cognitive bias,http://en.wikipedia.org/wiki/Ambiguity_effect,,,,,,,,
Anchoring Bias ,,yes,"The Anchoring Bias occurs when a person's expectation about one thing is affected by something they saw, heard, or thought before. In other words, it occurs when a person relies too heavily on a specific piece of information to govern their thought process.","In one study, an audience was asked to write the last two digits of their social security number and consider whether they would pay this number of dollars for items such as wine, chocolate, and computer equipment, the values of which they did not know. They were then asked to bid for these items. The result was that the audience members with higher two-digit numbers would submit bids that were between 60% and 120% higher than those with the lower social security numbers. Put simply, the higher the (social security) number in mind, the higher the bid. The social security numbers had become their ""anchors.""",Partly from https://en.wikipedia.org/wiki/Anchoring_(cognitive_bias) but looks like it is already reworded somewhat,"For example, when buying an expensive piece of software, the initial quote you get might anchor you to a particular price.

As another example, when negotiating a contract, the initial terms of the agreement might act as an anchor for the remainder of the negotiations. Wins might then be measured with respect to the original terms rather than in terms of absolute benefits or losses.","anchor, focus, specific, rely",2. Desires,3. Intends,"To overcome this bias, define one's expectations _before_ being exposed to potential anchors (e.g., prior to obtaining quotes, entering negotiations, and so on). It might also help to be reminded that one's memory of past experiences may be out-of-date or based on incorrect information. 

To leverage this bias, one could suggest a specific number (e.g., dollar amount) as a starting point for giving, negotiating, etc.",cognitive bias,http://en.wikipedia.org/wiki/Anchoring,,,Q,,"On some tests, have a question that involves someone paying $15 for a hamburger and omit that question on other tests. On all tests, have a question asking how much money one considers to be ""expensive"" for a hamburger. See if the $15 mark has an anchoring effect.","Idea for a within-subjects test: Ask 2 different gambling questions, one with an anchor and one without, where the test taker has to say how much he/she'd risk in a certain game for a certain probability of reward. The 2 games would have to be similar in that it would be irrational for a person to be more risk averse in one than another, but they'd have to be different in way that prevented the test taker from realizing this. Also must be careful that a subject's different answers don't result from the framing bias, rather than the anchoring bias.",Focal Bias,The Cognitive Miser
Anecdotal Evidence Fallacy,,yes,The Anecdotal Evidence Fallacy is the discounting of evidence arrived at by systematic search or testing in favor of a few firsthand stories.,,,"For example: ""I'm going to carry on smoking. My grandfather smoked 40 cigarettes a day until he died at age 90.""","anecdote, statistics, evidence, story",2. Desires,3. Intends,"To overcome this fallacy, point out that anecdotes can never be generalized to a population. A population represents many individuals, but a single individual does not necessarily represent the population. So it's possible to tell a true anecdote that's nevertheless statistically rare for a population.

To leverage this fallacy, use anecdotes to describe what individual experiences may look like. If you do this, be sure to mention that the anecdotes are only part of the statistical story. In other words, remind people that ""your mileage may vary.""",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
