PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
HABIT FORMATION,BENEFITS LIST,"Prompt the person to make a list of possible benefits of forming the new habit. Ask them to pick as many options as they feel are relevant. Then, ask which of the chosen benefits is the most important.",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4688/edit,In use,"enumerate, benefits, rank, benefits, intrinsic, benefit, desires, advantages, rewards, preferences, inherent, value, virtues",1
HABIT FORMATION,SCHEDULED TIME,"Ask the person to pick a specific time at which they will practice their habit each day, choosing from among a list of options (including a fill-in-the-blank). Once they've done so, ask if they use a calendar or smartphone to do their scheduling. For the person who selects smartphone, prompt them to set reminders in the relevant device to practice at the same time daily. This second component is counted as an additional INTERVENTION. ",,,5. To be deleted,,It's a combination of strategies that are already in the database.,,,,,,,YES,https://www.guidedtrack.com/programs/4689/edit,In use,,2
HABIT FORMATION,MOTIVATIONAL PHRASE,Ask the person to select a motivational phrase to repeat to themselves when they're having difficulty practicing their habit or not feeling motivated enough to do it. Make sure they pick one that they believe will really motivate them.,6. Chooses,EMOTIONAL STATE,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4690/edit,no,"phrase, motivation, phrase, chooses, emotional, words, adjective, decides, word, happens, invokes, metaphor",3
HABIT FORMATION,WELL-PLACED REMINDER,Ask the person to write out a reminder to practice their habit and post it in their home or any place where they may be at the time they should be taking the action.,4. Remembers,REMINDERS,2. Edited,,,,,,,,,YES,https://www.guidedtrack.com/programs/4691/edit,in use,"reminder, reminder, remind, remember, reminded, remembering, reminds, remembers, forget, remembered, memories",4
HABIT FORMATION,MODIFIED VERSION,Ask the person to plan out a reduced version of their new habit to practice on days when they face serious obstacles to doing the full version. This prevents them from falling out of the habit (since a shortened version is much better than missing a day from the point of view of habit formation).,6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4692,no,"modify, reduce, plan, friction, modified, reduces, chooses, modifying, modify, reducing, removes, determines, reduced",5
HABIT FORMATION,RECOVERY PLAN,"Ask the person to name the scenario most likely to cause them to miss doing the important behavior. Once they've done this, prompt them to come up with a two-pronged strategy for managing these situations — a tactic for reducing the chance of this failure scenario, and a plan for getting back on track if the failure scenario occurs.",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4693,in use,"plan, recover, failure, recovery, recover, rebuilding, rehabilitation, cope, sustained, plan, healing, dealing, remains",6
HABIT FORMATION,ADJUST SURROUNDINGS,"Prompt the person to come up with a way they can change their daily environment to make it easier for them to practice their habit. It can be either the physical environment (e.g., get rid of the chocolates at home if trying to lose weight) or social (e.g., don't hang out with smokers when trying to quit).",6. Chooses,FRICTION REDUCING,2. Edited,,Added the part explaining that there's the physical and social environment,,,,,,,YES,https://www.guidedtrack.com/programs/4694/edit,no,"environment, physical, social, adjust, surroundings, friction, adjusting, chooses, minimize, adapt, alter, modify, reducing",7
HABIT FORMATION,WRITTEN CONTRACT,"Prompt the person to electronically sign a contract; committing to implementing and sticking to their new habit.
",,,5. To be deleted,,Same as #257,,,,,,,YES,https://www.guidedtrack.com/programs/4695,no,,8
HABIT FORMATION,MEDITATION PLAN,"Teach the person a simple mindfulness meditation exercise. Suggest that they implement the exercise on two levels: first, they perform the meditation right after learning it to ensure they know and remember how to do it; and then they perform it whenever they feel stressed out by the thought of practicing their habit during the upcoming week.",6. Chooses,EMOTIONAL STATE,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4696,no,"meditate, practice, stress, spiritual, spirituality, emotional, zazen, metaphysical, prayer, spiritually, transcendental, yogi, mystical",9
HABIT FORMATION,PAST SUCCESS,"Ask the user to reflect on their accomplishment of a past goal, ideally one similar to the goal of creating this new behavior",,,5. To be deleted,,same as master experiences,,,,,,,NO,https://www.guidedtrack.com/programs/4697,no,,10
HABIT FORMATION,ACHIEVEMENT VISUALIZATION,Ask the person to visualize having already achieved a consistent performance of the habit.,2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,NO,https://www.guidedtrack.com/programs/4698/edit,no,"visualize, consistency, achievement, achievement, intrinsic, achievements, visualization, desires, benefits, subjective, achieve, advancement, abilities",11
HABIT FORMATION,AFFIRMATIONS,"Ask the user to repeat the phrase ""I CANNOT FAIL"" to themselves out loud 10 times.",,,5. To be deleted,,Merged with #265,,,,,,,NO,https://www.guidedtrack.com/programs/4699/edit,no,,12
HABIT FORMATION,PHOTOS,Display stock photos of people performing the habit the user is striving to form (to help aid their memory of what habit they will be doing).,4. Remembers,REPETITION,0. No edits needed,,,,,,,,,NO,https://www.guidedtrack.com/programs/4700/edit,no,"media, memory, photos, pictures, photographs, repetition, images, photograph, photo, videos, clips, remembering",13
